Sample_name,PC 1,PC 2,PC 3,PC 4,PC 5,PC 6,PC 7,PC 8,PC 9,PC 10,PC 11,PC 12,PC 13,PC 14,PC 15
LM_1575,-0.07793303443629603,0.2587236935847055,-0.12892032889575725,-0.24143994428090124,-0.028222558208754404,-0.07371029376237316,0.0646612609708114,-0.005824873933481925,0.012744310945388672,0.06590787905068288,0.03893708634467565,0.06385627017339475,-0.052356139933553834,-0.003969294931668588,-0.0021174368039521903
LM_1601,-0.09360427973445026,0.22660532339450573,-0.15313150484544585,-0.254783328640324,-0.03964811995917008,-0.06195872386766885,0.039804465563691244,-0.019049289923655476,0.011393222655524018,0.05866331165801936,0.05071702692833129,0.05881675774111661,-0.04547118478074605,-0.011337326990965395,-0.002117436803952174
LM_2270,-0.11530332189045923,0.2705584087940517,-0.1617783082844157,-0.22946130547713112,-0.03430517659390469,-0.07373434487267555,0.06116591724635051,-0.030915872386631467,0.010934112605025664,0.0598131617168302,0.049229098899436406,0.07228470851769996,-0.04112801678368002,-0.0036080329876718893,-0.002117436803952168
LM_2274,-0.06884962120876018,0.25732644287705986,-0.1419057390129568,-0.23280571520643958,-0.016289951314091652,-0.0662774225766933,0.04126285356175362,-0.006807594580957685,0.01673564958533632,0.06958460332138931,0.055530822797293856,0.07318829727006121,-0.03476940052807391,-0.005580777138208502,-0.002117436803952178
LM_2294,-0.09488564749681141,0.21918832552429596,-0.17346441937846244,-0.23391167208912444,-0.02163138234714119,-0.08728209578927307,0.05626600211316769,-0.006369974742585029,0.010702289698149452,0.06686265576326825,0.05316861076462417,0.07588393111235216,-0.050509361354478796,-0.007713817426808267,-0.002117436803952186
LM_2303,-0.15081738044194376,0.2410126426833658,-0.13035487668721255,-0.22585255430531198,-0.02423800991202177,-0.07537510837112082,0.038626204447956364,-0.004416897634245451,0.011894886441723006,0.06252985012755966,0.047460008311597766,0.0688652519854634,-0.04523758963403793,-0.003477868554524463,-0.002117436803952178
LM_2317,-0.09531241707385446,0.24192919328499035,-0.12125779860076422,-0.2165652868708138,-0.04062567082971827,-0.07016676875787099,0.05699600100666889,-0.015023929018274242,0.01536547269421528,0.059677849600839966,0.057363888133581314,0.07671290689512754,-0.04872528904302453,-0.01665830520548672,-0.002117436803952176
LM_2343,-0.07114547702108259,0.22626965094268775,-0.1364293759851161,-0.21280335402829642,-0.026569995847867935,-0.08205373509194269,0.04724487607103825,-0.015697576169588383,0.003666444434906685,0.04691103646558521,0.047346575195026906,0.06825565894870499,-0.04219462430185697,-0.001375765906681859,-0.002117436803952183
LM_2368,-0.08620115705545464,0.26853251877457784,-0.1491999378578615,-0.23080498346457246,-0.037441932859027874,-0.06976938886648884,0.037349756932232164,-0.009549647657792357,0.004293241944267764,0.05861351902123832,0.06124414965194238,0.07169868290555108,-0.05698093638250836,-0.0006743439803697168,-0.002117436803952184
LM_2380,-0.09699956364469055,0.23978259206470615,-0.1370424017718704,-0.26216733629125677,-0.03576569595087843,-0.06589524153863681,0.05024929228911679,-0.008524791073083945,0.005517510200746922,0.05331296260920186,0.04586866524343753,0.08617941232536312,-0.0441654812617391,-0.003981214849253081,-0.002117436803952185
LM_2458,-0.09579304916049139,0.22211595196884165,-0.12626114181585896,-0.24250370728506107,-0.01653716966920097,-0.06697479200344221,0.05301573529934622,-0.028189363777084184,0.019943633959160115,0.06388889985983856,0.05792852225131386,0.07284272229251118,-0.05103983201456817,0.0023312255693330383,-0.002117436803952167
LM_2463,-0.08556885554537993,0.23764438251278233,-0.13047064393209473,-0.23785639235782846,-0.05227739795838452,-0.09114078006242493,0.03836273616057442,-0.022416652688689365,0.00793468188791116,0.07408179846273201,0.04750750977402769,0.07444697684159987,-0.04491987926369405,-0.0031542225649223606,-0.0021174368039521916
LM_2467,-0.09108248111815935,0.23275858661577897,-0.15329331548943997,-0.22227070820724712,-0.05437929803925567,-0.06522735775360099,0.04969518961759143,-0.006412648304033111,0.030467687013552625,0.05945763007480104,0.04811938726020744,0.07326746464678653,-0.04572212043541608,0.0012686807064551768,-0.0021174368039521864
LM_2487,-0.09416113932135145,0.2263104489705169,-0.14637940168246782,-0.21455890223763424,-0.03550797339453758,-0.048822056257266544,0.05173605023132441,-0.015300381424771074,-0.0029564138356288627,0.07180823493855927,0.04596651476119709,0.0740462553792285,-0.047025865535760554,-0.0028003638095480503,-0.0021174368039521894
LM_2508,-0.10289137952522329,0.23358636604080948,-0.13465222550943134,-0.24130486448231292,-0.046448848479864684,-0.0742024376616488,0.06573122370232824,-0.004464827196074855,0.002999362880117193,0.06369879976986653,0.06389472859266317,0.06588409401007604,-0.03970335046494241,5.5069443332549095e-05,-0.0021174368039521903
