PC 1,0.0002201024684115509
PC 2,0.00015617494833718005
PC 3,0.00012310077470860682
PC 4,9.397076150398872e-05
PC 5,7.654549494743226e-05
PC 6,5.845008375530328e-05
PC 7,5.347923857284931e-05
PC 8,3.9367685680473085e-05
PC 9,3.665554268088652e-05
PC 10,3.2850365464180795e-05
PC 11,2.595418257293119e-05
PC 12,2.4163987822193644e-05
PC 13,1.934056470995048e-05
PC 14,1.723416199234655e-05
PC 15,1.7007231296495704e-05
PC 16,1.4403310151796241e-05
PC 17,1.354634786036703e-05
PC 18,1.19403092150845e-05
PC 19,9.98793229188294e-06
PC 20,9.26899362358165e-06
PC 21,8.276467213564027e-06
PC 22,7.375797217155078e-06
PC 23,6.942784337778693e-06
PC 24,6.034258740555562e-06
PC 25,5.250813219156234e-06
PC 26,4.7850438393280595e-06
PC 27,4.288117435607961e-06
PC 28,3.8343366501340654e-06
PC 29,3.600658770033879e-06
PC 30,3.126533654324855e-06
PC 31,2.794331314744228e-06
PC 32,2.1779875295633118e-06
PC 33,1.8851868535638334e-06
PC 34,1.4767042812085685e-06
PC 35,4.9373534915374244e-20
